metrica,nome_metrica,Human_media,Human_std,Human_n,LLM_media,LLM_std,LLM_n,diferenca,t_statistic,t_pvalue,mann_whitney_u,mann_whitney_pvalue,cohens_d,interpretacao,significativo_005,significativo_001
rules_per_sentence,Regras por Sentenca,9.100798125794155,9.233923974552946,50368,10.522493841197651,6.109603330391006,79155,-1.4216957154034962,-33.34051284017726,1.0756738554447309e-242,1557759710.5,0.0,-0.1815889911919037,negligenciavel,True,True
unique_rules_per_sentence,Regras Unicas por Sentenca,5.5800905336721724,4.147573852377665,50368,6.748190259617207,3.2174060125738833,79155,-1.1680997259450345,-56.804821506522,0.0,1538088704.5,0.0,-0.31470383749883424,pequeno,True,True
